dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_FarReelAILab_Machine_Mindset_en_INTJ
GaokaoBench_2010-2022_Math_II_MCQs,5b0b29,score,gen,0
GaokaoBench_2010-2022_Math_I_MCQs,5b0b29,score,gen,0.47
GaokaoBench_2010-2022_History_MCQs,3613b5,score,gen,0
GaokaoBench_2010-2022_Biology_MCQs,d26e80,score,gen,0
GaokaoBench_2010-2022_Political_Science_MCQs,70fce9,score,gen,0.31
GaokaoBench_2010-2022_Physics_MCQs,8a0c30,score,gen,0
GaokaoBench_2010-2022_Chemistry_MCQs,852bbd,score,gen,0
GaokaoBench_2010-2013_English_MCQs,01b50f,score,gen,0.95
GaokaoBench_2010-2022_Chinese_Modern_Lit,e19c31,score,gen,0
GaokaoBench_2010-2022_English_Fill_in_Blanks,924021,score,gen,13.67
GaokaoBench_2012-2022_English_Cloze_Test,11f6ce,score,gen,0
GaokaoBench_2010-2022_Geography_MCQs,862192,score,gen,2.11
GaokaoBench_2010-2022_English_Reading_Comp,ffdef4,score,gen,2.98
GaokaoBench_2010-2022_Chinese_Lang_and_Usage_MCQs,ba10b2,score,gen,8.75
GaokaoBench_2010-2022_Math_I_Fill-in-the-Blank,9dd6c7,score,gen,0
GaokaoBench_2010-2022_Math_II_Fill-in-the-Blank,9dd6c7,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Famous_Passages_and_Sentences_Dictation,58053d,score,gen,0
GaokaoBench_2014-2022_English_Language_Cloze_Passage,d431f7,score,gen,0
GaokaoBench_2010-2022_Geography_Open-ended_Questions,475d13,score,gen,0
GaokaoBench_2010-2022_Chemistry_Open-ended_Questions,0bccc3,score,gen,0
GaokaoBench_2010-2022_Math_I_Open-ended_Questions,8a0cf5,score,gen,0
GaokaoBench_2010-2022_History_Open-ended_Questions,9fbad8,score,gen,0
GaokaoBench_2010-2022_Biology_Open-ended_Questions,e0cb29,score,gen,0
GaokaoBench_2010-2022_Math_II_Open-ended_Questions,8a0cf5,score,gen,0
GaokaoBench_2010-2022_Physics_Open-ended_Questions,423d19,score,gen,0
GaokaoBench_2010-2022_Political_Science_Open-ended_Questions,0eee0a,score,gen,0
GaokaoBench_2012-2022_English_Language_Error_Correction,6a3cae,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Ancient_Poetry_Reading,ee6cc7,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Practical_Text_Reading,4dea5a,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Literary_Text_Reading,979d8b,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Classical_Chinese_Reading,9de717,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Language_and_Writing_Skills_Open-ended_Questions,d2ed84,score,gen,0
agieval-gaokao-chinese,774562,accuracy,gen,0.81
agieval-gaokao-english,cb5bc6,accuracy,gen,5.56
agieval-gaokao-geography,2ca56f,accuracy,gen,2.01
agieval-gaokao-history,9c3ae0,accuracy,gen,5.11
agieval-gaokao-biology,277c85,accuracy,gen,3.81
agieval-gaokao-chemistry,d62fd4,accuracy,gen,4.83
agieval-gaokao-mathqa,e2ea74,accuracy,gen,3.7
agieval-logiqa-zh,03474d,accuracy,gen,5.07
agieval-lsat-ar,ed1edf,accuracy,gen,3.48
agieval-lsat-lr,ec6882,accuracy,gen,4.51
agieval-lsat-rc,33077d,accuracy,gen,5.58
agieval-logiqa-en,c6ee60,accuracy,gen,5.07
agieval-sat-math,6c970d,accuracy,gen,3.64
agieval-sat-en,4e3fef,accuracy,gen,9.22
agieval-sat-en-without-passage,4e3fef,accuracy,gen,4.37
agieval-aqua-rat,c090ca,accuracy,gen,0
agieval-gaokao-physics,7.70E+06,accuracy,gen,2.5
agieval-jec-qa-kd,b1e586,accuracy,gen,1.9
agieval-jec-qa-ca,47bc29,accuracy,gen,2.2
agieval-gaokao-mathcloze,b2c3c3,score,gen,0.85
agieval-math,e0c6d9,score,gen,0.3
ceval-computer_network,db9ce2,accuracy,gen,10.53
ceval-operating_system,1c2571,accuracy,gen,15.79
ceval-computer_architecture,a74dad,accuracy,gen,28.57
ceval-college_programming,4ca32a,accuracy,gen,8.11
ceval-college_physics,963fa8,accuracy,gen,21.05
ceval-college_chemistry,e78857,accuracy,gen,8.33
ceval-advanced_mathematics,ce03e2,accuracy,gen,26.32
ceval-probability_and_statistics,65e812,accuracy,gen,22.22
ceval-discrete_mathematics,e894ae,accuracy,gen,37.5
ceval-electrical_engineer,ae42b9,accuracy,gen,32.43
ceval-metrology_engineer,ee34ea,accuracy,gen,25
ceval-high_school_mathematics,1dc5bf,accuracy,gen,16.67
ceval-high_school_physics,adf25f,accuracy,gen,5.26
ceval-high_school_chemistry,2ed27f,accuracy,gen,5.26
ceval-high_school_biology,8e2b9a,accuracy,gen,0
ceval-middle_school_mathematics,bee8d5,accuracy,gen,26.32
ceval-middle_school_biology,86817c,accuracy,gen,0
ceval-middle_school_physics,8accf6,accuracy,gen,5.26
ceval-middle_school_chemistry,167a15,accuracy,gen,0
ceval-veterinary_medicine,b4e08d,accuracy,gen,17.39
ceval-college_economics,f3f4e6,accuracy,gen,29.09
ceval-business_administration,c1614e,accuracy,gen,9.09
ceval-marxism,cf874c,accuracy,gen,21.05
ceval-mao_zedong_thought,51c7a4,accuracy,gen,45.83
ceval-education_science,591fee,accuracy,gen,10.34
ceval-teacher_qualification,4e4ced,accuracy,gen,2.27
ceval-high_school_politics,5c0de2,accuracy,gen,5.26
ceval-high_school_geography,865461,accuracy,gen,10.53
ceval-middle_school_politics,5be3e7,accuracy,gen,0
ceval-middle_school_geography,8a63be,accuracy,gen,41.67
ceval-modern_chinese_history,fc01af,accuracy,gen,4.35
ceval-ideological_and_moral_cultivation,a2aa4a,accuracy,gen,52.63
ceval-logic,f5b022,accuracy,gen,9.09
ceval-law,a110a1,accuracy,gen,0
ceval-chinese_language_and_literature,0f8b68,accuracy,gen,17.39
ceval-art_studies,2a1300,accuracy,gen,39.39
ceval-professional_tour_guide,4e673e,accuracy,gen,17.24
ceval-legal_professional,ce8787,accuracy,gen,8.7
ceval-high_school_chinese,315705,accuracy,gen,5.26
ceval-high_school_history,7eb30a,accuracy,gen,0
ceval-middle_school_history,48ab4a,accuracy,gen,22.73
ceval-civil_servant,87d061,accuracy,gen,2.13
ceval-sports_science,70f27b,accuracy,gen,21.05
ceval-plant_protection,8941f9,accuracy,gen,40.91
ceval-basic_medicine,c409d6,accuracy,gen,31.58
ceval-clinical_medicine,49e82d,accuracy,gen,4.55
ceval-urban_and_rural_planner,95b885,accuracy,gen,26.09
ceval-accountant,2837,accuracy,gen,6.12
ceval-fire_engineer,bc23f5,accuracy,gen,38.71
ceval-environmental_impact_assessment_engineer,c64e2d,accuracy,gen,6.45
ceval-tax_accountant,3a5e3c,accuracy,gen,6.12
ceval-physician,6e277d,accuracy,gen,2.04
cmmlu-agronomy,4c7f2c,accuracy,gen,15.38
cmmlu-anatomy,ea09bf,accuracy,gen,4.05
cmmlu-ancient_chinese,f7c97f,accuracy,gen,15.24
cmmlu-arts,dd77b8,accuracy,gen,1.88
cmmlu-astronomy,1e49db,accuracy,gen,19.39
cmmlu-business_ethics,dc78cb,accuracy,gen,8.13
cmmlu-chinese_civil_service_exam,1de82c,accuracy,gen,2.5
cmmlu-chinese_driving_rule,b8a42b,accuracy,gen,20.61
cmmlu-chinese_food_culture,2d568a,accuracy,gen,11.03
cmmlu-chinese_foreign_policy,dc2427,accuracy,gen,3.74
cmmlu-chinese_history,4cc7ed,accuracy,gen,2.17
cmmlu-chinese_literature,af3c41,accuracy,gen,1.47
cmmlu-chinese_teacher_qualification,87de11,accuracy,gen,2.79
cmmlu-clinical_knowledge,c55b1d,accuracy,gen,2.11
cmmlu-college_actuarial_science,d3c360,accuracy,gen,0.94
cmmlu-college_education,df8790,accuracy,gen,6.54
cmmlu-college_engineering_hydrology,673f23,accuracy,gen,19.81
cmmlu-college_law,524c3a,accuracy,gen,2.78
cmmlu-college_mathematics,e4ebad,accuracy,gen,0.95
cmmlu-college_medical_statistics,55af35,accuracy,gen,32.08
cmmlu-college_medicine,702f48,accuracy,gen,2.93
cmmlu-computer_science,637007,accuracy,gen,19.12
cmmlu-computer_security,932b6b,accuracy,gen,16.96
cmmlu-conceptual_physics,cfc077,accuracy,gen,2.04
cmmlu-construction_project_management,968a4a,accuracy,gen,6.47
cmmlu-economics,ddaf7c,accuracy,gen,24.53
cmmlu-education,c35963,accuracy,gen,4.29
cmmlu-electrical_engineering,70e98a,accuracy,gen,22.09
cmmlu-elementary_chinese,cbcd6a,accuracy,gen,8.33
cmmlu-elementary_commonsense,a67f37,accuracy,gen,20.71
cmmlu-elementary_information_and_technology,d34d2a,accuracy,gen,10.08
cmmlu-elementary_mathematics,a9d403,accuracy,gen,18.26
cmmlu-ethnology,31955f,accuracy,gen,16.3
cmmlu-food_science,741d8e,accuracy,gen,5.59
cmmlu-genetics,c326f7,accuracy,gen,15.34
cmmlu-global_facts,0a1236,accuracy,gen,21.48
cmmlu-high_school_biology,2be811,accuracy,gen,1.78
cmmlu-high_school_chemistry,d63c05,accuracy,gen,3.79
cmmlu-high_school_geography,5cd489,accuracy,gen,19.49
cmmlu-high_school_mathematics,6b2087,accuracy,gen,24.39
cmmlu-high_school_physics,3df353,accuracy,gen,15.45
cmmlu-high_school_politics,7a88d8,accuracy,gen,2.8
cmmlu-human_sexuality,54ac98,accuracy,gen,3.97
cmmlu-international_law,0f5d40,accuracy,gen,20
cmmlu-journalism,a4f6a0,accuracy,gen,22.67
cmmlu-jurisprudence,7843da,accuracy,gen,4.38
cmmlu-legal_and_moral_basis,f906b0,accuracy,gen,8.88
cmmlu-logical,15a71b,accuracy,gen,13.82
cmmlu-machine_learning,bc6ad4,accuracy,gen,1.64
cmmlu-management,e5e8db,accuracy,gen,2.38
cmmlu-marketing,8b4c18,accuracy,gen,7.78
cmmlu-marxist_theory,75eb79,accuracy,gen,17.99
cmmlu-modern_chinese,83a9b7,accuracy,gen,15.52
cmmlu-nutrition,adfff7,accuracy,gen,2.07
cmmlu-philosophy,75e22d,accuracy,gen,3.81
cmmlu-professional_accounting,0edc91,accuracy,gen,2.86
cmmlu-professional_law,d24af5,accuracy,gen,3.79
cmmlu-professional_medicine,134139,accuracy,gen,6.91
cmmlu-professional_psychology,ec920e,accuracy,gen,3.45
cmmlu-public_relations,70ee06,accuracy,gen,7.47
cmmlu-security_study,45f96f,accuracy,gen,1.48
cmmlu-sociology,485285,accuracy,gen,21.68
cmmlu-sports_science,838cfe,accuracy,gen,4.85
cmmlu-traditional_chinese_medicine,3bbf64,accuracy,gen,18.38
cmmlu-virology,8925bf,accuracy,gen,2.37
cmmlu-world_history,57c97c,accuracy,gen,3.73
cmmlu-world_religions,1d0f4b,accuracy,gen,16.25
gsm8k,1d7fe4,accuracy,gen,2.05
math,265cce,accuracy,gen,0.38
lukaemon_mmlu_college_biology,8c2e29,accuracy,gen,0
lukaemon_mmlu_college_chemistry,0afccd,accuracy,gen,0
lukaemon_mmlu_college_computer_science,c1c1b4,accuracy,gen,0
lukaemon_mmlu_college_mathematics,9deed0,accuracy,gen,0
lukaemon_mmlu_college_physics,f5cf5e,accuracy,gen,0
lukaemon_mmlu_electrical_engineering,3d694d,accuracy,gen,0
lukaemon_mmlu_astronomy,7ef16f,accuracy,gen,0
lukaemon_mmlu_anatomy,2d597d,accuracy,gen,0
lukaemon_mmlu_abstract_algebra,ec092c,accuracy,gen,0
lukaemon_mmlu_machine_learning,d489ae,accuracy,gen,0
lukaemon_mmlu_clinical_knowledge,af10df,accuracy,gen,0.38
lukaemon_mmlu_global_facts,cad9e0,accuracy,gen,0
lukaemon_mmlu_management,65f310,accuracy,gen,0
lukaemon_mmlu_nutrition,80bf96,accuracy,gen,0
lukaemon_mmlu_marketing,9a98c0,accuracy,gen,0
lukaemon_mmlu_professional_accounting,9cc7e2,accuracy,gen,0
lukaemon_mmlu_high_school_geography,c28a4c,accuracy,gen,0
lukaemon_mmlu_international_law,408d4e,accuracy,gen,0
lukaemon_mmlu_moral_scenarios,9f30a6,accuracy,gen,0
lukaemon_mmlu_computer_security,2753c1,accuracy,gen,0
lukaemon_mmlu_high_school_microeconomics,af9eae,accuracy,gen,0
lukaemon_mmlu_professional_law,7c7a62,accuracy,gen,7.63
lukaemon_mmlu_medical_genetics,b1a3a7,accuracy,gen,0
lukaemon_mmlu_professional_psychology,c6b790,accuracy,gen,0
lukaemon_mmlu_jurisprudence,f41074,accuracy,gen,0
lukaemon_mmlu_world_religions,d44a95,accuracy,gen,0
lukaemon_mmlu_philosophy,d36ef3,accuracy,gen,0
lukaemon_mmlu_virology,0a5f8e,accuracy,gen,0
lukaemon_mmlu_high_school_chemistry,5b2ef9,accuracy,gen,0
lukaemon_mmlu_public_relations,4c7898,accuracy,gen,0
lukaemon_mmlu_high_school_macroeconomics,3f841b,accuracy,gen,0
lukaemon_mmlu_human_sexuality,4d1f3e,accuracy,gen,0
lukaemon_mmlu_elementary_mathematics,0f5d3a,accuracy,gen,0.26
lukaemon_mmlu_high_school_physics,0dd929,accuracy,gen,0
lukaemon_mmlu_high_school_computer_science,bf31fd,accuracy,gen,0
lukaemon_mmlu_high_school_european_history,d1b67e,accuracy,gen,3.03
lukaemon_mmlu_business_ethics,af53f3,accuracy,gen,0
lukaemon_mmlu_moral_disputes,48239e,accuracy,gen,0
lukaemon_mmlu_high_school_statistics,47e18e,accuracy,gen,0
lukaemon_mmlu_miscellaneous,573569,accuracy,gen,0
lukaemon_mmlu_formal_logic,7a0414,accuracy,gen,0
lukaemon_mmlu_high_school_government_and_politics,d907eb,accuracy,gen,0
lukaemon_mmlu_prehistory,65aa94,accuracy,gen,0
lukaemon_mmlu_security_studies,9ea7d3,accuracy,gen,0
lukaemon_mmlu_high_school_biology,775183,accuracy,gen,0
lukaemon_mmlu_logical_fallacies,19746a,accuracy,gen,0
lukaemon_mmlu_high_school_world_history,6665dc,accuracy,gen,0.84
lukaemon_mmlu_professional_medicine,a05bab,accuracy,gen,0
lukaemon_mmlu_high_school_mathematics,0e6a7e,accuracy,gen,0
lukaemon_mmlu_college_medicine,5215f1,accuracy,gen,0
lukaemon_mmlu_high_school_us_history,b5f235,accuracy,gen,3.92
lukaemon_mmlu_sociology,4980ec,accuracy,gen,0
lukaemon_mmlu_econometrics,4d590b,accuracy,gen,0
lukaemon_mmlu_high_school_psychology,4.40E+98,accuracy,gen,0
lukaemon_mmlu_human_aging,d0a8e1,accuracy,gen,0
lukaemon_mmlu_us_foreign_policy,adcc88,accuracy,gen,0
lukaemon_mmlu_conceptual_physics,a111d3,accuracy,gen,0
agieval-chinese,-,naive_average,gen,3.2
agieval-english,-,naive_average,gen,4.02
agieval-gaokao,-,naive_average,gen,3.24
agieval,-,naive_average,gen,3.55
mmlu-humanities,-,naive_average,gen,1.19
mmlu-stem,-,naive_average,gen,0.01
mmlu-social-science,-,naive_average,gen,0
mmlu-other,-,naive_average,gen,0.03
mmlu,-,naive_average,gen,0.28
mmlu-weighted,-,weighted_average,gen,0.95
cmmlu-humanities,-,naive_average,gen,8.73
cmmlu-stem,-,naive_average,gen,11.97
cmmlu-social-science,-,naive_average,gen,9.59
cmmlu-other,-,naive_average,gen,9.73
cmmlu-china-specific,-,naive_average,gen,9.87
cmmlu,-,naive_average,gen,10.06
ceval-stem,-,naive_average,gen,15.6
ceval-social-science,-,naive_average,gen,17.51
ceval-humanities,-,naive_average,gen,16.07
ceval-other,-,naive_average,gen,16.89
ceval-hard,-,naive_average,gen,17.83
ceval,-,naive_average,gen,16.34
GaokaoBench,-,weighted_average,gen,1.96
